,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
16,ks,smoothed_cli,2020-04-08,,2020-09-03,148,0.8021602,0.0832353,8316.7474,state,fb-survey
17,ky,smoothed_cli,2020-04-08,,2020-09-03,148,0.778807,0.0629997,13217.2483,state,fb-survey
18,la,smoothed_cli,2020-04-08,,2020-09-03,148,0.9594229,0.0794323,10970.1783,state,fb-survey
19,ma,smoothed_cli,2020-04-08,,2020-09-03,148,0.6944647,0.0551254,16575.043,state,fb-survey
20,md,smoothed_cli,2020-04-08,,2020-09-03,148,0.6223133,0.0551829,14325.9535,state,fb-survey
21,me,smoothed_cli,2020-04-08,,2020-09-03,148,0.8752746,0.122372,4150.2234,state,fb-survey
22,mi,smoothed_cli,2020-04-08,,2020-09-03,148,0.9055392,0.0552014,21667.0515,state,fb-survey
23,mn,smoothed_cli,2020-04-08,,2020-09-03,148,0.7560425,0.0629979,14102.6872,state,fb-survey
24,mo,smoothed_cli,2020-04-08,,2020-09-03,148,0.7605021,0.057458,16823.9431,state,fb-survey
25,ms,smoothed_cli,2020-04-08,,2020-09-03,148,0.8134915,0.0884705,7185.7165,state,fb-survey
26,mt,smoothed_cli,2020-04-08,,2020-09-03,148,1.0337412,0.1634906,3165.0642,state,fb-survey
27,nc,smoothed_cli,2020-04-08,,2020-09-03,148,0.7427067,0.0582614,16457.0127,state,fb-survey
28,nd,smoothed_cli,2020-04-08,,2020-09-03,148,0.7421903,0.1633842,2011.7623,state,fb-survey
29,ne,smoothed_cli,2020-04-08,,2020-09-03,148,0.9904942,0.1228968,4918.5227,state,fb-survey
30,nh,smoothed_cli,2020-04-08,,2020-09-03,148,0.7140906,0.110105,4103.7766,state,fb-survey
31,nj,smoothed_cli,2020-04-08,,2020-09-03,148,1.1820714,0.0700028,17344.9894,state,fb-survey
32,nm,smoothed_cli,2020-04-08,,2020-09-03,148,0.6072747,0.0910593,5112.1932,state,fb-survey
33,nv,smoothed_cli,2020-04-08,,2020-09-03,148,0.9444006,0.0945264,7916.1738,state,fb-survey
34,ny,smoothed_cli,2020-04-08,,2020-09-03,148,1.6025178,0.0889241,14807.0011,state,fb-survey
35,oh,smoothed_cli,2020-04-08,,2020-09-03,148,0.8206412,0.0550308,19818.0017,state,fb-survey
36,ok,smoothed_cli,2020-04-08,,2020-09-03,148,0.9708293,0.0797219,10904.0956,state,fb-survey
37,or,smoothed_cli,2020-04-08,,2020-09-03,148,1.0086708,0.0786257,11888.2834,state,fb-survey
38,pa,smoothed_cli,2020-04-08,,2020-09-03,148,0.7010586,0.0491914,21436.0154,state,fb-survey
39,ri,smoothed_cli,2020-04-08,,2020-09-03,148,0.6852223,0.132866,2826.957,state,fb-survey
40,sc,smoothed_cli,2020-04-08,,2020-09-03,148,0.7825997,0.0652833,13564.0116,state,fb-survey
41,sd,smoothed_cli,2020-04-08,,2020-09-03,148,1.1450286,0.1883953,2279.1298,state,fb-survey
42,tn,smoothed_cli,2020-04-08,,2020-09-03,148,0.836845,0.0607682,16999.6961,state,fb-survey
43,tx,smoothed_cli,2020-04-08,,2020-09-03,148,0.7517442,0.0573609,16204.234,state,fb-survey
44,ut,smoothed_cli,2020-04-08,,2020-09-03,148,0.8610969,0.0862982,7981.9784,state,fb-survey
45,va,smoothed_cli,2020-04-08,,2020-09-03,148,0.7280777,0.0535257,18399.856,state,fb-survey
46,vt,smoothed_cli,2020-04-08,,2020-09-03,148,0.4778935,0.1389681,1817.002,state,fb-survey
47,wa,smoothed_cli,2020-04-08,,2020-09-03,148,0.7522993,0.0529366,19412.7657,state,fb-survey
48,wi,smoothed_cli,2020-04-08,,2020-09-03,148,0.7949697,0.0607125,16127.9597,state,fb-survey
49,wv,smoothed_cli,2020-04-08,,2020-09-03,148,0.7010243,0.0916121,6061.783,state,fb-survey
50,wy,smoothed_cli,2020-04-08,,2020-09-03,148,1.0447718,0.2104559,1659.6197,state,fb-survey
0,ak,smoothed_cli,2020-04-09,,2020-09-03,147,0.8990279,0.1655012,2508.0,state,fb-survey
1,al,smoothed_cli,2020-04-09,,2020-09-03,147,0.7984145,0.0599988,16445.3163,state,fb-survey
2,ar,smoothed_cli,2020-04-09,,2020-09-03,147,0.9091949,0.0819459,10223.6735,state,fb-survey
3,az,smoothed_cli,2020-04-09,,2020-09-03,147,0.9296774,0.0559083,21857.2817,state,fb-survey
4,ca,smoothed_cli,2020-04-09,,2020-09-03,147,0.7255871,0.0516236,20550.2111,state,fb-survey
5,co,smoothed_cli,2020-04-09,,2020-09-03,147,1.2709141,0.0653809,22029.3639,state,fb-survey
6,ct,smoothed_cli,2020-04-09,,2020-09-03,147,0.8856522,0.0735224,11858.0,state,fb-survey
7,dc,smoothed_cli,2020-04-09,,2020-09-03,147,0.4805123,0.1280642,2121.0,state,fb-survey
8,de,smoothed_cli,2020-04-09,,2020-09-03,147,0.6429304,0.1175615,3505.0438,state,fb-survey
9,fl,smoothed_cli,2020-04-09,,2020-09-03,147,0.6345073,0.0436434,24404.0016,state,fb-survey
10,ga,smoothed_cli,2020-04-09,,2020-09-03,147,0.6860188,0.0478668,20824.8604,state,fb-survey
11,hi,smoothed_cli,2020-04-09,,2020-09-03,147,0.6549057,0.1197396,3513.0,state,fb-survey
12,ia,smoothed_cli,2020-04-09,,2020-09-03,147,1.0914829,0.0824016,11854.2077,state,fb-survey
13,id,smoothed_cli,2020-04-09,,2020-09-03,147,1.1838921,0.1164822,6427.9334,state,fb-survey
14,il,smoothed_cli,2020-04-09,,2020-09-03,147,0.8152248,0.0511384,22785.1358,state,fb-survey
15,in,smoothed_cli,2020-04-09,,2020-09-03,147,1.0274351,0.0545705,25146.0191,state,fb-survey
16,ks,smoothed_cli,2020-04-09,,2020-09-03,147,0.8088552,0.0728403,11108.7467,state,fb-survey
17,ky,smoothed_cli,2020-04-09,,2020-09-03,147,0.7680569,0.0548878,17295.1263,state,fb-survey
18,la,smoothed_cli,2020-04-09,,2020-09-03,147,0.9385238,0.0679377,14414.3621,state,fb-survey
19,ma,smoothed_cli,2020-04-09,,2020-09-03,147,0.6594373,0.0464463,22412.0575,state,fb-survey
20,md,smoothed_cli,2020-04-09,,2020-09-03,147,0.5890946,0.0468169,19198.9432,state,fb-survey
21,me,smoothed_cli,2020-04-09,,2020-09-03,147,0.9529753,0.1126243,5569.4468,state,fb-survey
22,mi,smoothed_cli,2020-04-09,,2020-09-03,147,0.9046658,0.0480123,29048.0614,state,fb-survey
23,mn,smoothed_cli,2020-04-09,,2020-09-03,147,0.7659303,0.0545794,18901.37,state,fb-survey
24,mo,smoothed_cli,2020-04-09,,2020-09-03,147,0.765048,0.0498261,22563.7376,state,fb-survey
25,ms,smoothed_cli,2020-04-09,,2020-09-03,147,0.8089793,0.0774906,9402.6631,state,fb-survey
26,mt,smoothed_cli,2020-04-09,,2020-09-03,147,1.0388674,0.1422641,4144.3025,state,fb-survey
27,nc,smoothed_cli,2020-04-09,,2020-09-03,147,0.7137832,0.0487597,22056.0158,state,fb-survey
28,nd,smoothed_cli,2020-04-09,,2020-09-03,147,0.5898103,0.1255336,2658.6659,state,fb-survey
29,ne,smoothed_cli,2020-04-09,,2020-09-03,147,1.0404237,0.1099227,6588.3649,state,fb-survey
30,nh,smoothed_cli,2020-04-09,,2020-09-03,147,0.7448758,0.0966135,5520.5532,state,fb-survey
31,nj,smoothed_cli,2020-04-09,,2020-09-03,147,1.121979,0.0588769,23159.9863,state,fb-survey
32,nm,smoothed_cli,2020-04-09,,2020-09-03,147,0.6305057,0.0810057,6822.3497,state,fb-survey
33,nv,smoothed_cli,2020-04-09,,2020-09-03,147,0.8402205,0.0776921,10442.0451,state,fb-survey
34,ny,smoothed_cli,2020-04-09,,2020-09-03,147,1.5979509,0.0772688,19808.0011,state,fb-survey
35,oh,smoothed_cli,2020-04-09,,2020-09-03,147,0.8008458,0.046752,26307.008,state,fb-survey
36,ok,smoothed_cli,2020-04-09,,2020-09-03,147,0.9518966,0.0686736,14448.15,state,fb-survey
37,or,smoothed_cli,2020-04-09,,2020-09-03,147,1.0393518,0.0700796,15727.3101,state,fb-survey
38,pa,smoothed_cli,2020-04-09,,2020-09-03,147,0.6712068,0.0417533,28812.0207,state,fb-survey
39,ri,smoothed_cli,2020-04-09,,2020-09-03,147,0.6983685,0.1170089,3799.9425,state,fb-survey
40,sc,smoothed_cli,2020-04-09,,2020-09-03,147,0.7326872,0.0542044,18189.0144,state,fb-survey
41,sd,smoothed_cli,2020-04-09,,2020-09-03,147,1.0289601,0.1572894,3072.7902,state,fb-survey
42,tn,smoothed_cli,2020-04-09,,2020-09-03,147,0.8184867,0.0525374,22163.8212,state,fb-survey
43,tx,smoothed_cli,2020-04-09,,2020-09-03,147,0.7579653,0.0508471,21229.2566,state,fb-survey
44,ut,smoothed_cli,2020-04-09,,2020-09-03,147,0.9322425,0.0779669,10680.348,state,fb-survey
45,va,smoothed_cli,2020-04-09,,2020-09-03,147,0.6559714,0.0437124,24533.211,state,fb-survey
46,vt,smoothed_cli,2020-04-09,,2020-09-03,147,0.738965,0.1563727,2489.0025,state,fb-survey
47,wa,smoothed_cli,2020-04-09,,2020-09-03,147,0.7513255,0.0460841,25509.7351,state,fb-survey
48,wi,smoothed_cli,2020-04-09,,2020-09-03,147,0.7646157,0.0518003,21478.9501,state,fb-survey
49,wv,smoothed_cli,2020-04-09,,2020-09-03,147,0.7090594,0.0810741,7963.9864,state,fb-survey
50,wy,smoothed_cli,2020-04-09,,2020-09-03,147,1.1167986,0.1903821,2213.6181,state,fb-survey
0,ak,smoothed_cli,2020-04-10,,2020-09-03,146,0.8556548,0.1551519,2752.0,state,fb-survey
